schidkn,pscore,classid,cs,female,nwhite,n
22,0.0,6317.0,15.0,0.0,1.0,1.0
33,0.079981014,9700.0,26.0,1.0,1.0,1.0
56,0.030598296,16647.0,21.0,0.0,0.0,1.0
33,1.0732764,9700.0,26.0,0.0,1.0,1.0
45,0.35722697,13400.0,24.0,0.0,1.0,1.0
45,1.4127825,13400.0,24.0,0.0,1.0,1.0
60,0.1095157,17800.0,25.0,1.0,0.0,1.0
33,0.2454068,9837.0,27.0,0.0,1.0,1.0
50,2.2515795,14700.0,17.0,1.0,1.0,1.0
33,3.893555,9700.0,26.0,0.0,1.0,1.0
16,1.8071352,4600.0,26.0,0.0,1.0,1.0
56,0.20219693,16700.0,23.0,0.0,1.0,1.0
56,5.226002,16700.0,23.0,0.0,0.0,1.0
27,0.3285471,8031.0,25.0,1.0,1.0,1.0
27,0.1889649,7929.0,26.0,1.0,1.0,1.0
56,1.8679773,16700.0,23.0,1.0,0.0,1.0
53,1.8679773,15600.0,15.0,1.0,1.0,1.0
16,3.3247674,4715.0,25.0,0.0,1.0,1.0
76,1.8679773,22669.0,24.0,0.0,0.0,1.0
63,4.021323,18751.0,22.0,0.0,0.0,1.0
54,1.2497184,15900.0,15.0,0.0,0.0,1.0
28,7.8978662,8127.0,15.0,1.0,1.0,1.0
28,1.0028048,8334.0,22.0,1.0,1.0,1.0
28,0.68798995,8334.0,22.0,1.0,1.0,1.0
56,6.965768,16551.0,16.0,1.0,1.0,1.0
57,1.0028048,17000.0,20.0,1.0,0.0,1.0
56,0.83613807,16700.0,23.0,0.0,0.0,1.0
78,8.049972,22900.0,24.0,1.0,0.0,1.0
42,0.9882432,12400.0,23.0,0.0,0.0,1.0
16,2.5314531,4600.0,26.0,1.0,1.0,1.0
15,4.803058,4400.0,15.0,0.0,1.0,1.0
64,0.42651483,19056.0,19.0,0.0,0.0,1.0
27,44.210464,7930.0,27.0,0.0,1.0,1.0
56,0.84009504,16648.0,23.0,0.0,0.0,1.0
56,0.9882432,16700.0,23.0,0.0,1.0,1.0
32,2.5314531,9536.0,22.0,0.0,1.0,1.0
56,7.117873,16551.0,16.0,0.0,0.0,1.0
26,5.4450336,7500.0,17.0,1.0,1.0,1.0
16,0.7666099,4600.0,26.0,0.0,1.0,1.0
56,4.1734285,16700.0,23.0,1.0,1.0,1.0
33,2.5314531,9700.0,26.0,0.0,1.0,1.0
33,14.321576,9838.0,27.0,0.0,1.0,1.0
61,4.803058,18061.0,17.0,0.0,1.0,1.0
19,4.1734285,5500.0,26.0,0.0,1.0,1.0
56,10.1302185,16700.0,23.0,0.0,0.0,1.0
6,4.1734285,1800.0,23.0,0.0,0.0,1.0
75,4.1734285,22200.0,16.0,1.0,0.0,1.0
37,16.50059,11039.0,24.0,0.0,1.0,1.0
42,0.9882432,12342.0,16.0,0.0,1.0,1.0
35,0.9882432,10300.0,24.0,0.0,0.0,1.0
56,0.85462505,16648.0,23.0,0.0,1.0,1.0
32,5.7188225,9328.0,16.0,0.0,1.0,1.0
26,3.317588,7500.0,17.0,1.0,1.0,1.0
2,5.076847,500.0,19.0,0.0,0.0,1.0
16,6.5274644,4714.0,26.0,1.0,1.0,1.0
32,6.5274644,9536.0,22.0,1.0,1.0,1.0
5,1.6756127,1400.0,24.0,0.0,0.0,1.0
61,6.5274644,18100.0,20.0,0.0,0.0,1.0
16,8.323761,4715.0,25.0,1.0,1.0,1.0
26,3.317588,7500.0,17.0,0.0,1.0,1.0
74,7.391662,22000.0,24.0,0.0,0.0,1.0
18,1.6756127,5300.0,22.0,0.0,1.0,1.0
17,2.360798,4900.0,24.0,0.0,1.0,1.0
28,2.0151188,8100.0,15.0,1.0,1.0,1.0
16,2.360798,4600.0,26.0,0.0,1.0,1.0
28,3.817588,8335.0,23.0,0.0,1.0,1.0
76,3.317588,22700.0,23.0,0.0,0.0,1.0
53,0.85462505,15700.0,23.0,0.0,0.0,1.0
9,4.4472175,2507.0,13.0,0.0,0.0,1.0
45,15.607711,13400.0,24.0,0.0,1.0,1.0
63,5.076847,18752.0,21.0,0.0,1.0,1.0
34,10.404008,9900.0,15.0,1.0,0.0,1.0
51,2.8052423,15141.0,25.0,0.0,0.0,1.0
18,1.6756127,5300.0,22.0,1.0,1.0,1.0
31,12.508945,9100.0,21.0,1.0,1.0,1.0
5,5.076847,1400.0,24.0,0.0,0.0,1.0
67,6.5274644,20000.0,18.0,0.0,0.0,1.0
66,4.4472175,19565.0,14.0,0.0,0.0,1.0
56,2.7684398,16647.0,21.0,0.0,0.0,1.0
32,1.1635015,9500.0,24.0,1.0,1.0,1.0
16,6.1264644,4600.0,26.0,1.0,1.0,1.0
45,1.6696743,13400.0,24.0,1.0,1.0,1.0
13,2.0832546,3800.0,23.0,0.0,0.0,1.0
9,11.8610325,2712.0,21.0,0.0,0.0,1.0
45,2.7684398,13300.0,24.0,0.0,1.0,1.0
16,5.484489,4715.0,25.0,1.0,1.0,1.0
53,8.731402,15700.0,23.0,1.0,0.0,1.0
35,4.2252297,10400.0,25.0,0.0,0.0,1.0
28,4.2252297,8126.0,15.0,0.0,1.0,1.0
33,7.799304,9838.0,27.0,1.0,1.0,1.0
9,5.484489,2610.0,21.0,0.0,0.0,1.0
33,1.3672051,9700.0,26.0,0.0,1.0,1.0
45,15.003008,13200.0,15.0,0.0,1.0,1.0
33,11.8610325,9700.0,26.0,0.0,1.0,1.0
56,4.2252297,16648.0,23.0,1.0,1.0,1.0
32,3.212884,9329.0,16.0,0.0,1.0,1.0
2,5.484489,400.0,16.0,0.0,1.0,1.0
5,4.8548594,1500.0,21.0,1.0,0.0,1.0
45,1.1635015,13400.0,24.0,0.0,1.0,1.0
78,11.8610325,22900.0,24.0,0.0,0.0,1.0
45,2.4227607,13400.0,24.0,0.0,1.0,1.0
55,3.7252297,16345.0,22.0,0.0,0.0,1.0
28,8.731402,8126.0,15.0,0.0,1.0,1.0
