data_id,treat,age,education,black,hispanic,married,nodegree,re74,re75,re78
CPS2,0.0,33.0,12.0,0.0,0.0,0.0,0.0,25862.32,25243.55,25564.67
CPS2,0.0,29.0,5.0,0.0,0.0,1.0,1.0,25862.32,25243.55,25564.67
CPS2,0.0,41.0,12.0,0.0,0.0,1.0,0.0,25862.32,25243.55,25564.67
CPS2,0.0,39.0,8.0,1.0,0.0,1.0,1.0,25862.32,25243.55,25564.67
CPS2,0.0,46.0,12.0,1.0,0.0,0.0,0.0,25862.32,25243.55,25564.67
CPS2,0.0,49.0,14.0,0.0,0.0,1.0,0.0,25862.32,25243.55,0.0
CPS2,0.0,41.0,14.0,0.0,0.0,1.0,0.0,25862.32,25243.55,16624.42
CPS2,0.0,49.0,18.0,0.0,0.0,1.0,0.0,25862.32,25243.55,25564.67
CPS2,0.0,24.0,12.0,0.0,0.0,0.0,0.0,25862.32,25243.55,25564.67
CPS2,0.0,27.0,13.0,0.0,0.0,1.0,0.0,25862.32,25243.55,0.0
CPS2,0.0,41.0,7.0,0.0,0.0,1.0,1.0,25862.32,25243.55,25564.67
CPS2,0.0,52.0,12.0,0.0,0.0,1.0,0.0,25862.32,25243.55,25564.67
CPS2,0.0,34.0,12.0,0.0,0.0,1.0,0.0,25862.32,25243.55,0.0
CPS2,0.0,45.0,12.0,0.0,0.0,1.0,0.0,25862.32,25243.55,25564.67
CPS2,0.0,28.0,16.0,0.0,0.0,1.0,0.0,25862.32,25243.55,25564.67
CPS2,0.0,23.0,13.0,0.0,0.0,1.0,0.0,25862.32,25243.55,25564.67
CPS2,0.0,47.0,11.0,0.0,0.0,1.0,1.0,25862.32,25243.55,25564.67
CPS2,0.0,28.0,12.0,0.0,0.0,0.0,0.0,25862.32,25243.55,25564.67
CPS2,0.0,48.0,12.0,0.0,0.0,1.0,0.0,25862.32,25243.55,25564.67
CPS2,0.0,31.0,13.0,0.0,0.0,1.0,0.0,25862.32,25243.55,25564.67
CPS2,0.0,52.0,12.0,0.0,0.0,1.0,0.0,25862.32,25243.55,23888.93
