data_id,treat,age,education,black,hispanic,married,nodegree,re74,re75,re78
PSID3,0.0,46.0,6.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
PSID3,0.0,45.0,7.0,1.0,0.0,1.0,1.0,0.0,0.0,11821.813
PSID3,0.0,45.0,9.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
PSID3,0.0,49.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
PSID3,0.0,53.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
PSID3,0.0,47.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSID3,0.0,47.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PSID3,0.0,52.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
PSID3,0.0,40.0,10.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
PSID3,0.0,55.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
PSID3,0.0,54.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,221.659
PSID3,0.0,50.0,12.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
PSID3,0.0,52.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
PSID3,0.0,25.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,3694.3164
PSID3,0.0,46.0,9.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
PSID3,0.0,48.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
PSID3,0.0,44.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSID3,0.0,26.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,11821.813
PSID3,0.0,51.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
PSID3,0.0,34.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,11821.813
PSID3,0.0,41.0,6.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
PSID3,0.0,55.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
PSID3,0.0,46.0,9.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
PSID3,0.0,55.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
PSID3,0.0,34.0,14.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
PSID3,0.0,28.0,12.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
PSID3,0.0,54.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
PSID3,0.0,53.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
PSID3,0.0,54.0,10.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
PSID3,0.0,55.0,12.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
PSID3,0.0,53.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
PSID3,0.0,47.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
PSID3,0.0,55.0,13.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
PSID3,0.0,41.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
PSID3,0.0,45.0,9.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
PSID3,0.0,54.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
PSID3,0.0,54.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
PSID3,0.0,54.0,10.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
PSID3,0.0,53.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
PSID3,0.0,25.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PSID3,0.0,54.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
PSID3,0.0,54.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
PSID3,0.0,44.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
PSID3,0.0,51.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
PSID3,0.0,45.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
PSID3,0.0,41.0,11.0,0.0,0.0,1.0,1.0,0.0,0.0,14481.72
PSID3,0.0,23.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
PSID3,0.0,50.0,12.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
PSID3,0.0,23.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
PSID3,0.0,23.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,4728.725
PSID3,0.0,21.0,13.0,0.0,0.0,0.0,0.0,0.0,692.85486,2659.9077
PSID3,0.0,23.0,14.0,0.0,0.0,0.0,0.0,0.0,3401.6128,5319.816
PSID3,0.0,25.0,12.0,1.0,0.0,1.0,0.0,0.0,21483.871,1220.6022
PSID3,0.0,43.0,3.0,1.0,0.0,1.0,1.0,17.633402,0.0,0.0
PSID3,0.0,52.0,6.0,1.0,0.0,1.0,1.0,235.11201,1246.0645,1477.7266
PSID3,0.0,54.0,8.0,0.0,0.0,1.0,1.0,293.89,537.09674,295.54532
PSID3,0.0,52.0,7.0,1.0,0.0,0.0,1.0,293.89,5012.9033,0.0
PSID3,0.0,24.0,12.0,1.0,0.0,0.0,0.0,783.7067,0.0,10344.086
PSID3,0.0,22.0,13.0,0.0,0.0,0.0,0.0,783.7067,0.0,2305.2534
PSID3,0.0,23.0,12.0,1.0,0.0,0.0,0.0,1077.5967,3222.5806,5910.9062
PSID3,0.0,22.0,12.0,1.0,0.0,1.0,0.0,1269.6049,0.0,0.0
PSID3,0.0,24.0,17.0,0.0,0.0,1.0,0.0,1371.4868,0.0,24825.807
PSID3,0.0,31.0,6.0,1.0,0.0,0.0,1.0,1410.6721,555.0,16059.932
PSID3,0.0,27.0,16.0,0.0,0.0,1.0,0.0,1469.4501,1253.2258,4363.7266
PSID3,0.0,19.0,11.0,1.0,0.0,0.0,1.0,1567.4135,0.0,0.0
PSID3,0.0,35.0,9.0,1.0,0.0,0.0,1.0,1567.4135,5370.968,5910.9062
PSID3,0.0,21.0,12.0,1.0,0.0,0.0,0.0,1959.2668,5460.484,1152.6267
PSID3,0.0,22.0,12.0,1.0,0.0,1.0,0.0,2006.2892,2470.6453,0.0
PSID3,0.0,23.0,13.0,0.0,0.0,1.0,0.0,2155.1936,5370.968,11378.495
PSID3,0.0,19.0,14.0,0.0,0.0,0.0,0.0,2938.9001,3222.5806,0.0
PSID3,0.0,40.0,4.0,1.0,0.0,0.0,1.0,2962.4114,1933.5483,1034.4086
PSID3,0.0,22.0,9.0,1.0,0.0,0.0,1.0,3134.827,4345.113,13299.539
PSID3,0.0,23.0,15.0,0.0,0.0,1.0,0.0,3320.9573,2506.4517,9974.654
PSID3,0.0,19.0,6.0,1.0,0.0,0.0,1.0,3526.6802,0.0,0.0
PSID3,0.0,27.0,15.0,0.0,0.0,1.0,0.0,3722.607,4654.839,19210.445
PSID3,0.0,27.0,12.0,1.0,0.0,1.0,0.0,3918.5337,1994.4194,17732.719
PSID3,0.0,43.0,10.0,1.0,0.0,1.0,1.0,3918.5337,2148.3872,0.0
PSID3,0.0,20.0,12.0,0.0,0.0,0.0,0.0,4811.9595,716.129,0.0
PSID3,0.0,52.0,12.0,0.0,0.0,1.0,0.0,4898.167,0.0,0.0
PSID3,0.0,24.0,11.0,1.0,0.0,1.0,1.0,5427.169,0.0,1329.9539
PSID3,0.0,38.0,10.0,1.0,0.0,1.0,1.0,5877.8003,0.0,0.0
PSID3,0.0,24.0,9.0,1.0,0.0,0.0,1.0,5877.8003,5370.968,13299.539
PSID3,0.0,32.0,11.0,1.0,0.0,1.0,1.0,6524.3584,0.0,930.9677
PSID3,0.0,22.0,13.0,0.0,0.0,0.0,0.0,6857.4336,6266.129,17363.287
PSID3,0.0,21.0,14.0,0.0,0.0,1.0,0.0,6974.9897,11407.935,17141.629
PSID3,0.0,29.0,10.0,0.0,0.0,1.0,1.0,7347.2505,0.0,0.0
PSID3,0.0,54.0,12.0,0.0,0.0,1.0,0.0,7445.214,0.0,0.0
