vote_last,vote_next,D
0.1049,0.581,True
0.1393,0.4611,True
-0.0736,0.5434,False
0.0868,0.5846,True
0.3994,0.5803,True
0.1681,0.6244,True
0.2516,0.4873,True
0.2675,0.5710000000000001,True
0.1528,0.5955,True
0.2024,0.6304,True
0.2378,0.7419,True
0.488,0.7724,True
0.5449,0.7140000000000001,True
0.4858,0.7355,True
0.486,0.5805,True
0.0329,0.4918,True
-0.0138,0.4095,False
-0.18100000000000002,0.5329,False
0.0658,0.4988,True
0.2653,0.5621,True
0.1301,0.5405,True
0.0871,0.4674,True
0.1981,0.6507,True
0.3098,0.6992,True
0.3984,0.5337,True
0.092,0.6738,True
0.3477,0.6362,True
0.2724,0.5971,True
0.0001,0.5159,True
0.0665,0.6101,True
0.0067,0.5192,True
-0.0533,0.4,False
-0.2,0.5622,False
0.1245,0.5491,True
0.2779,0.5311,True
0.1161,0.54,True
0.1154,0.5456,True
0.337,0.5463,True
0.1119,0.5813,True
0.1811,0.4646,True
0.0541,0.6965,True
0.3929,0.6649,True
0.3299,0.521,True
0.26899999999999996,0.7135,True
0.4328,0.7132,True
-0.1176,0.4205,False
-0.1483,0.3113,False
-0.3723,0.5091,False
0.0181,0.4796,True
0.0362,0.5096,True
0.0192,0.4733,True
-0.0408,0.4263,False
-0.08,0.3706,False
-0.2395,0.4164,False
-0.1673,0.3742,False
-0.4079,0.4646,False
-0.0708,0.2707,False
-0.4471,0.2344,False
-0.5064,0.3763,False
-0.2283,0.2987,False
-0.0366,0.4566,False
-0.055,0.3807,False
-0.2385,0.5379999999999999,False
0.076,0.551,True
0.34600000000000003,0.5906,True
0.1813,0.5632,True
0.1263,0.5475,True
-0.0244,0.3275,False
-0.3376,0.5232,False
0.0464,0.5037,True
-0.0884,0.3911,False
-0.2178,0.2636,False
-0.4728,0.4725,False
-0.0667,0.5205,False
0.0613,0.4988,True
0.1749,0.4768,True
-0.0122,0.3771,False
-0.2458,0.5107,False
0.273,0.5662,True
0.1366,0.642,True
0.284,0.5896,True
-0.2797,0.3582,False
-0.2835,0.3327,False
-0.3301,0.2563,False
-0.3238,0.4893,False
-0.006999999999999999,0.3959,False
-0.0045,0.4855,False
-0.0201,0.3855,False
-0.22899999999999998,0.5604,False
0.1208,0.5398,True
0.25,0.5417,True
0.1004,0.5197,True
0.049,0.4975,True
-0.0011,0.5038,False
0.0515,0.5662,True
0.1325,0.5916,True
-0.0036,0.4262,False
-0.1475,0.358,False
-0.2567,0.3151,False
-0.2704,0.5316,False
0.0942,0.6322,True
0.2644,0.602,True
-0.0379,0.5532,False
0.1063,0.6033,True
0.2401,0.5676,True
0.1352,0.5571,True
0.1141,0.6421,True
-0.4274,0.1965,False
-0.5746,0.4085,False
-0.0997,0.2149,False
-0.5313,0.2267,False
-0.5466,0.3379,False
-0.3242,0.4897,False
0.0495,0.7194,True
0.4712,0.762,True
-0.1436,0.3109,False
-0.1117,0.3599,False
-0.2761,0.4424,False
-0.1106,0.3118,False
-1.0,0.0,False
-1.0,0.0,False
-1.0,0.0,False
-0.4228,0.3622,False
-0.2755,0.0,False
-1.0,0.2511,False
-0.4586,0.222,False
-0.556,0.8273,False
0.6546,0.2244,True
1.0,0.5274,True
0.0548,0.7172,True
0.0973,0.5464,True
0.1927,0.6122,True
0.2244,1.0,True
1.0,1.0,True
1.0,1.0,True
1.0,0.7365,True
0.4729,1.0,True
1.0,0.7236,True
0.4998,0.7284,True
0.4567,0.672,True
0.3739,0.6594,True
0.3188,0.8025,True
0.6051,1.0,True
0.2221,0.7175,True
0.4979,1.0,True
0.4789,0.7153,True
1.0,0.7094,True
0.4188,1.0,True
1.0,1.0,True
1.0,0.7104,True
0.4207,0.4783,True
0.2013,0.3766,True
0.1109,1.0,True
1.0,0.7525,True
0.5049,0.7231,True
0.3483,1.0,True
1.0,1.0,True
1.0,1.0,True
-0.1044,0.5315,False
0.0762,0.5696,True
0.1835,0.5694,True
0.1426,0.5943,True
0.1886,0.6379,True
0.2758,0.6453,True
0.4351,1.0,True
1.0,0.6095,True
0.21899999999999997,0.5433,True
0.1612,0.5207,True
0.0415,1.0,True
1.0,0.519,True
0.484,0.8885,True
0.7771,0.7031,True
0.4063,0.6553,True
1.0,0.7166,True
0.4332,1.0,True
-1.0,0.2388,False
-1.0,0.2672,False
-0.4656,0.3398,False
-0.3204,0.4549,False
-0.3002,0.2519,False
-0.4962,0.3959,False
-0.2082,0.36700000000000005,False
0.2128,0.6731,True
0.3462,0.5221,True
0.2402,0.6597,True
0.0671,1.0,True
1.0,0.8412,True
0.6823,0.5218,True
0.3971,1.0,True
1.0,0.7073,True
-1.0,0.2629,False
-0.4236,0.0,False
-1.0,0.0,False
-1.0,0.3407,False
-0.2921,0.3429,False
-0.3141,0.3392,False
-0.3216,0.6169,False
1.0,0.5481,True
0.1348,0.5376,True
0.0752,0.5082,True
0.4394,1.0,True
1.0,0.6971,True
0.3942,0.6506,True
-0.0312,0.4823,False
0.0013,0.5457,True
0.5841,0.7847,True
-1.0,0.6447,False
0.2894,0.7558,True
0.5117,1.0,True
0.539,0.7449,True
0.4899,0.6252,True
0.2503,0.7222,True
0.5956,0.7691,True
0.5933,0.8484,True
0.6968,1.0,True
0.4283,1.0,True
1.0,1.0,True
1.0,1.0,True
0.289,0.6985,True
0.3971,0.7065,True
-0.0207,0.4611,False
0.0639,0.5478,True
0.0957,0.6636,True
0.3271,0.6575,True
1.0,1.0,True
1.0,1.0,True
1.0,1.0,True
0.81,0.7445,True
0.5575,0.7461,True
0.5375,0.7839,True
0.8382,0.7222,True
0.4444,0.8043,True
0.6087,0.7228,True
1.0,0.8435,True
0.6869,0.8184,True
-0.1334,0.4131,False
-0.1316,0.3891,False
-0.2218,0.4531,False
-0.0938,0.4429,False
0.657,1.0,True
1.0,0.8294,True
0.6589,0.5915,True
0.7863,0.6956,True
0.4643,0.9183,True
0.8599,1.0,True
1.0,0.8379,True
0.6757,1.0,True
1.0,0.7028,True
0.3955,0.7225,True
0.4449,1.0,True
-0.3907,0.4151,False
-0.0132,0.4704,False
-0.0593,0.4782,False
-0.0436,0.4178,False
-0.2596,0.489,False
-0.022000000000000002,0.3263,False
-0.3474,0.4296,False
-0.2831,0.0,False
-1.0,0.3886,False
-0.2229,0.3938,False
0.1142,0.6511,True
0.3863,0.6667,True
0.3335,0.5341,True
0.3752,0.5446,True
0.1261,0.7006,True
1.0,0.8228,True
0.5646,0.7531,True
0.5062,0.8039,True
0.6079,1.0,True
1.0,0.7478,True
0.4956,1.0,True
1.0,1.0,True
1.0,0.6899,True
0.3798,0.9173,True
0.8347,1.0,True
1.0,1.0,True
1.0,0.8082,True
0.6164,1.0,True
1.0,0.8404,True
1.0,0.8248,True
0.6497,1.0,True
1.0,1.0,True
-0.1925,0.45,False
-0.1001,0.0,False
-1.0,0.4962,False
0.4957,1.0,True
1.0,1.0,True
1.0,0.7322,True
-0.1312,0.3733,False
-0.1599,0.4438,False
-0.1125,0.5351,False
0.0701,0.5853,True
-0.2275,0.3526,False
-0.2402,0.3762,False
-0.2477,0.3896,False
-0.2208,0.3969,False
-0.1159,0.4248,False
-0.0043,0.426,False
-0.14800000000000002,0.4104,False
-0.1741,0.4345,False
0.027000000000000003,0.4377,True
-0.1246,0.3663,False
-0.2674,0.3258,False
0.0427,0.6804,True
0.3769,0.6166,True
0.2512,0.6079,True
-0.1783,0.4365,False
-0.1271,0.3969,False
-0.2063,0.4476,False
-0.3689,0.4664,False
-0.0342,0.3315,False
-0.1565,0.3554,False
-0.2084,0.3403,False
-0.3194,0.4127,False
-0.1711,0.3969,False
-0.0024,0.3312,False
-0.3363,0.2886,False
-0.4229,0.3037,False
-0.2846,0.3947,False
-0.2107,0.3187,False
-0.3626,0.3586,False
-0.5445,0.2578,False
-0.4844,0.4253,False
-0.1426,0.5269,False
-0.0549,0.435,False
-0.0704,0.4477,False
0.2404,0.6315,True
0.1826,0.5577,True
0.1154,0.6285,True
0.257,0.6623,True
0.3251,0.5659,True
0.1357,0.6037,True
0.2191,0.6095,True
0.4584,0.6239,True
0.2599,0.6124,True
0.2248,0.6761,True
0.3709,0.5771,True
0.1542,0.4437,True
-0.1127,0.4484,False
0.083,0.6942,True
0.4137,0.6683,True
0.1931,0.6078,True
0.2102,0.5221,True
0.0442,0.633,True
0.267,0.7037,True
0.627,0.6466,True
0.2932,0.6124,True
0.2248,0.6613,True
0.5645,0.765,True
0.5399,0.5261,True
0.0522,0.4469,True
-0.3548,0.2819,False
-0.4363,0.2788,False
-0.4425,0.5921,False
0.3597,0.6447,True
0.3275,0.7204,True
-0.38799999999999996,0.0,False
-0.8924,0.1889,False
-0.2234,0.3973,False
-0.2159,0.2557,False
-0.2275,0.3287,False
-0.3426,0.5147,False
0.0293,0.4283,True
-0.1288,0.3436,False
-0.3128,0.0,False
-1.0,0.2912,False
-0.1293,0.326,False
-0.348,0.1929,False
-0.5602,0.0,False
-0.38799999999999996,0.0,False
-0.8924,0.1889,False
-0.2234,0.3973,False
-0.4997,0.0937,False
-0.4594,0.0,False
0.1704,0.6616,True
0.3271,0.6752,True
0.3503,0.6553,True
-0.0158,0.4335,False
0.0982,0.4804,True
-0.0391,0.5023,False
0.0046,0.5049,True
0.1314,0.4423,True
-0.1154,0.4133,False
-0.1735,0.4456,False
-0.5852,0.4769,False
-0.0384,0.4117,False
-0.1703,0.3751,False
0.1704,0.6616,True
0.3271,0.6752,True
0.3503,0.6553,True
-0.4418,0.2745,False
-0.4209,0.3182,False
-0.0725,0.4325,False
-0.0884,0.4149,False
-0.1681,0.4931,False
-0.0095,0.4224,False
-0.1251,0.4625,False
-0.051,0.4095,False
-0.1708,0.3844,False
0.1901,0.701,True
0.4118,0.794,True
0.593,0.7671,True
0.4408,0.7564,True
0.5204,0.6989,True
0.4034,0.5429,True
0.4453,0.7612,True
0.5511,0.7319,True
-0.2418,0.4566,False
-0.2716,0.3203,False
-0.3582,0.4608,False
-0.0735,0.4321,False
0.0157,0.4686,True
-0.0467,0.4444,False
-0.1082,0.4832,False
0.1603,0.6172,True
0.2344,0.6643,True
0.3285,0.5746,True
0.2647,0.6826,True
0.3962,0.6573,True
0.3262,0.8817,True
-0.2924,0.3801,False
-0.2231,0.3078,False
-0.1854,0.3699,False
-0.1512,0.3468,False
-0.3064,0.4393,False
-0.1214,0.469,False
0.0083,0.5269,True
0.0605,0.5776,True
0.1584,0.5516,True
0.3902,0.6211,True
0.2502,0.5596,True
0.125,0.4993,True
0.0752,0.5870000000000001,True
0.174,0.5164,True
0.0421,0.4909,True
-0.3517,0.3326,False
-0.3095,0.3514,False
0.2301,0.5216,True
0.1672,0.5453,True
0.0907,0.6299,True
0.2598,0.6022,True
0.3523,0.5616,True
0.1266,0.4644,True
-0.0691,0.5835,False
0.3366,0.6629999999999999,True
0.3423,0.6108,True
0.2419,0.4064,True
-0.2262,0.3828,False
-0.2284,0.3345,False
-0.3229,0.3436,False
-0.3726,0.3371,False
-0.2992,0.3495,False
-0.161,0.3837,False
-0.1853,0.3536,False
-0.29100000000000004,0.4402,False
-0.1165,0.4125,False
-0.2715,0.2708,False
-0.4368,0.2994,False
-0.3825,0.3182,False
-0.099,0.3134,False
-0.3552,0.2745,False
-0.4511,0.205,False
-0.4234,0.2543,False
-0.4914,0.2364,False
-0.5205,0.2243,False
-0.5235,0.2475,False
-0.4654,0.3326,False
-0.1449,0.3778,False
0.1413,0.485,True
-0.0209,0.4685,False
-0.0424,0.414,False
-0.1948,0.3065,False
-0.3627,0.3395,False
-0.3175,0.4408,False
-0.07,0.3969,False
-0.1907,0.3838,False
-0.2198,0.4131,False
0.1305,0.69,True
0.4007,0.611,True
0.2304,0.5053,True
0.2283,0.6125,True
0.2518,0.57,True
-0.1293,0.3033,False
-0.264,0.2934,False
-0.4133,0.4003,False
-0.1961,0.3602,False
-0.1339,0.3359,False
-0.3283,0.3669,False
-0.2549,0.4142,False
0.0525,0.5655,True
0.1309,0.5255,True
0.0591,0.4653,True
-0.4877,0.2096,False
-0.5808,0.2539,False
-0.4922,0.2316,False
-0.2085,0.4183,False
-0.1356,0.4443,False
-0.0012,0.3598,False
-0.0965,0.3873,False
-0.2208,0.4119,False
-0.1691,0.5203,False
0.3526,0.5961,True
0.2137,0.6137,True
0.2316,0.6099,True
0.4931,0.7059,True
0.4155,0.7446,True
0.4891,0.6715,True
0.2578,0.6279,True
0.2558,1.0,True
1.0,0.769,True
-0.013000000000000001,0.512,False
0.0324,0.6208,True
-0.2449,0.3282,False
-0.2047,0.3189,False
-0.3592,0.4196,False
-0.1543,0.41600000000000004,False
0.0109,0.5088,True
0.0176,0.4984,True
0.0119,0.5660000000000001,True
0.3157,0.4434,True
-0.0876,0.3789,False
-0.1105,0.3833,False
0.2528,0.6902,True
0.3805,0.6715,True
0.3482,0.5703,True
0.2648,0.5577,True
0.1358,0.6456,True
0.0499,0.6101,True
0.2675,0.5612,True
0.1224,0.639,True
0.2909,0.6526,True
0.4898,0.6428,True
0.3155,0.638,True
0.2944,0.6998,True
0.6585,0.8265,True
0.6659999999999999,0.8635,True
0.7371,0.8533,True
0.6734,0.9594,True
0.9187,0.7735,True
0.647,0.8148,True
0.5398,0.8416,True
0.6954,0.835,True
0.0156,0.5158,True
0.1501,0.5168,True
0.0491,0.5934,True
0.1868,0.6139,True
0.3927,0.5829,True
0.175,0.6547,True
0.3225,0.6846,True
0.3983,0.6762,True
0.3649,0.7054,True
0.4206,0.6299,True
-0.1152,0.3198,False
-0.3604,0.2952,False
-0.4096,0.326,False
-0.4324,0.3086,False
-0.3541,0.2964,False
-0.0364,0.4467,False
-0.0613,0.3869,False
-0.2099,0.45299999999999996,False
-0.0737,0.4773,False
0.0641,0.2394,True
-0.4998,0.2843,False
-0.4313,0.33799999999999997,False
0.3261,0.2626,True
-0.4687,0.2663,False
-0.4674,0.209,False
-0.3067,0.3651,False
-0.2697,0.2989,False
-0.3938,0.3107,False
-0.3797,0.4665,False
-0.038,0.5012,False
0.3611,0.5193,True
0.3384,0.4497,True
0.0005,0.6613,True
0.4123,0.6829999999999999,True
0.5565,0.7183,True
0.4366,0.5554,True
0.207,0.7111,True
0.1456,0.5037,True
0.0251,0.4816,True
-0.0368,0.2636,False
-0.2229,0.3464,False
-0.3072,0.3052,False
-0.3896,0.3947,False
0.4569,0.7883,True
0.6147,0.8006,True
0.2558,0.5923,True
0.2748,0.4561,True
-0.067,0.6285,False
0.2989,0.5735,True
0.4921,0.6796,True
0.3944,0.5846,True
0.2438,0.6973,True
0.6378,0.4986,True
0.0467,0.6361,True
0.4334,0.6418,True
0.3245,0.7067,True
0.4397,0.6734,True
0.3672,0.6607,True
0.2629,0.5696,True
0.1546,0.5457,True
0.098,0.6106,True
0.4351,0.5904,True
0.2874,0.4828,True
0.0245,0.5342,True
-0.3438,0.4918,False
-0.2642,0.3417,False
-0.3167,0.4254,False
-0.1493,0.5037,False
0.2985,0.5894,True
0.2524,0.3592,True
-0.1801,0.5222,False
0.3637,0.6532,True
0.35600000000000004,0.4193,True
-0.1432,0.4188,False
-0.0619,0.5124,False
0.0895,0.5079,True
0.0159,0.563,True
-0.0601,0.4528,False
-0.0944,0.3587,False
-0.3871,0.3121,False
-0.2786,0.3254,False
-0.3493,0.3946,False
-0.2108,0.3901,False
-0.0329,0.3414,False
-0.2052,0.6902,False
0.4053,0.3386,True
0.0414,0.5706,True
0.1469,0.5486,True
0.0972,0.5635,True
0.0939,0.6427,True
0.3191,0.6165,True
0.2329,0.5576,True
-0.402,0.3319,False
-0.3103,0.2955,False
-0.2122,0.3364,False
-0.1667,0.3807,False
-0.2386,0.4558,False
-0.0883,0.4589,False
0.0138,0.5026,True
0.0051,0.4023,True
-0.1183,0.5441,False
0.0569,0.5195,True
0.052000000000000005,0.5086,True
0.0293,0.4747,True
0.0309,0.5644,True
0.1587,0.5721,True
0.1659,0.5329,True
-0.1926,0.4214,False
-0.1316,0.3489,False
0.0301,0.5418,True
-0.1391,0.4419,False
-0.1162,0.4744,False
-0.0513,0.4492,False
-0.0994,0.3205,False
-0.2762,0.7013,False
0.4289,0.3506,True
-0.0994,0.4419,False
-0.1162,0.3245,False
-0.3364,0.3108,False
-0.408,0.289,False
-0.3591,0.2762,False
-0.4251,0.3186,False
-0.1288,0.5749,False
0.1698,0.526,True
0.067,0.4838,True
-0.0783,0.4144,False
-0.1712,0.43700000000000006,False
-0.0842,0.5418,False
0.1159,0.4988,True
0.0126,0.4929,True
-0.0141,0.4608,False
-0.0847,0.4433,False
-0.1135,0.4163,False
-0.1675,0.4235,False
-0.2737,0.2895,False
-0.3632,0.3325,False
-0.3181,0.4089,False
0.1173,0.6366,True
0.2865,0.65,True
0.14800000000000002,0.568,True
0.0898,0.5685,True
0.13699999999999998,0.6356,True
0.2712,0.6562,True
-0.1411,0.2943,False
-0.2961,0.5751,False
0.2745,0.0,True
0.3341,0.6179,True
0.285,0.6003,True
0.2711,0.4719,True
0.6549,0.6774,True
0.3548,0.8587,True
0.7175,0.7306,True
0.6089,0.8485,True
0.6971,1.0,True
0.1995,0.5698,True
0.1793,0.5003,True
0.0007,0.6114,True
0.2228,0.6068,True
0.4147,0.649,True
0.4092,0.3912,True
-0.2176,0.9075,False
1.0,0.9465,True
0.8996,0.9489,True
0.8978,0.9534,True
0.385,0.7737,True
0.5473,1.0,True
1.0,1.0,True
0.7428,0.7107,True
0.4215,0.6902,True
0.391,0.6194,True
0.5534,0.6565,True
0.3129,0.7165,True
0.4331,0.7290000000000001,True
0.5263,0.6963,True
0.4754,0.698,True
0.4814,0.6283,True
0.58,0.7783,True
0.5593,0.7865,True
0.6272,0.7563,True
0.2554,0.9019,True
0.8038,1.0,True
1.0,0.7226,True
0.6624,0.8228,True
0.6605,0.86,True
0.3108,0.9098,True
0.4378,0.628,True
0.2559,0.7207,True
0.4414,0.723,True
0.3659,0.5352,True
0.1351,0.4966,True
0.0699,0.9189,True
0.8603,0.951,True
0.902,0.5417,True
0.0975,0.5834,True
0.0555,0.6938,True
0.4471,1.0,True
1.0,0.6437,True
0.4523,0.7479,True
0.535,0.6643,True
0.3004,0.6708,True
0.5534,0.7322,True
0.4643,0.7611,True
0.5221,0.7659,True
0.7507,0.8207,True
0.6414,0.7053,True
0.4106,0.7297,True
0.7124,0.9159999999999999,True
0.8654,0.9503,True
0.9005,0.9445,True
0.4616,0.9331,True
0.8662,0.7844,True
0.6062,0.8042,True
0.7979999999999999,0.9127,True
0.8336,0.9229999999999999,True
0.2466,0.6291,True
0.6708,0.7774,True
0.5548,0.8138,True
0.6275,0.8163,True
0.6021,0.7063,True
0.4876,0.6967,True
0.5123,0.7857,True
0.5801,0.7406,True
0.5728,0.7845,True
0.569,0.7119,True
0.7207,0.8943,True
0.8074,0.8869,True
0.7977,0.9291,True
0.794,0.9195,True
0.8391,0.8999,True
0.2851,0.616,True
-0.0262,0.424,False
-0.1521,0.3989,False
-0.1278,0.5042,False
0.6337,0.7268,True
0.4831,0.6653,True
0.4026,0.8178,True
0.6631,0.8705,True
0.763,0.8777,True
0.7554,0.8711,True
0.8272,0.9149,True
0.8551,0.9301,True
0.8603,0.9490000000000001,True
0.8594,0.8461,True
0.7097,0.8362,True
0.1708,0.5686,True
