year,lowbrth,infmort,afdcprt,popul,pcinc,physic,afdcprc,d90,lpcinc,cafdcprc,clpcinc,lphysic,clphysic,clowbrth,cinfmort,afdcpay,afdcinc,lafdcpay,clafdcpy,cafdcinc,stateabb,state,beds,bedspc,lbedspc,clbedspc,povrate,cpovrate,afdcpsq,cafdcpsq,physicpc,lphypc,clphypc,lpopul,clpopul
1987,8.0,12.2,132,4084,12039,151,3.2321253,0,9.395906,,,5.0172796,,,,114,0.9469225,4.7361984,,,AL,alabama,24.2,0.005925563,-5.1284795,,21.3,,10.446634,,0.036973555,-3.2975523,,8.314832,
1990,8.4,10.8,132,4041,14899,158,3.266518,1,9.60905,0.034392834,0.21314335,5.062595,0.045315266,0.39999962,-1.3999996,115,0.7718639,4.744932,0.008733749,-0.1750586,AL,alabama,23.5,0.0058153924,-5.147247,-0.018767357,19.2,-2.0999985,10.67014,0.22350597,0.03909923,-3.2416525,0.05589986,8.304248,-0.010583878
1987,4.8,10.4,19,524,18461,138,3.6259542,0,9.823416,,,4.9272537,,,,567,3.0713396,6.340359,,,AK,alaska,2.0,0.003816794,-5.5683446,,12.0,,13.147544,,0.26335877,-1.334238,,6.261492,
1990,4.8,10.5,24,550,20867,146,4.3636365,1,9.945924,0.73768234,0.12250805,4.983607,0.056353092,0.0,0.10000038,651,3.1197584,6.4785094,0.13815022,0.04841876,AK,alaska,2.0,0.0036363637,-5.616771,-0.048426628,11.4,-0.6000004,19.041323,5.893779,0.26545453,-1.3263117,0.007926345,6.3099184,0.048426628
1987,6.4,9.5,91,3400,14322,191,2.6764705,0,9.569552,,,5.2522736,,,,268,1.871247,5.590987,,,AZ,arizona,13.4,0.0039411765,-5.536276,,12.8,,7.1634946,,0.05617647,-2.8792572,,8.131531,
1990,6.4,8.8,144,3665,16169,197,3.9290586,1,9.690851,1.252588,0.12129879,5.2832036,0.030930042,0.0,-0.6999998,268,1.6574928,5.590987,0.0,-0.2137543,AZ,arizona,13.3,0.0036289224,-5.6188197,-0.08254385,13.7,0.8999996,15.437501,8.274006,0.053751707,-2.92338,-0.044122696,8.206584,0.075053215
1987,7.7,10.3,67,2388,11421,144,2.805695,0,9.343209,,,4.9698133,,,,185,1.6198231,5.220356,,,AR,arkansas,13.0,0.005443886,-5.213262,,21.8,,7.871925,,0.06030151,-2.8083982,,7.7782116,
1990,8.2,9.2,73,2351,14037,150,3.1050618,1,9.549452,0.2993667,0.20624256,5.0106354,0.04082203,0.5,-1.1000004,190,1.3535656,5.247024,0.026668072,-0.26625752,AR,arkansas,12.9,0.0054870266,-5.205369,0.0078930855,19.6,-2.1999989,9.641409,1.769484,0.06380264,-2.7519608,0.056437492,7.762596,-0.015615463
1987,6.0,9.0,1708,27653,17770,242,6.176545,0,9.785267,,,5.488938,,,,557,3.1344965,6.322565,,,CA,california,107.6,0.0038910788,-5.549069,,12.3,,38.14971,,0.008751311,-4.7385516,,10.227489,
1990,5.8,7.9,2023,29760,20547,244,6.797715,1,9.93047,0.62117004,0.14520359,5.497168,0.008230209,-0.19999981,-1.0999999,637,3.1002092,6.4567695,0.13420439,-0.034287214,CA,california,105.7,0.0035517472,-5.6403155,-0.091246605,13.9,1.5999994,46.20893,8.059219,0.008198924,-4.8037524,-0.065200806,10.3009205,0.073431015
1987,7.9,9.8,94,3293,15680,202,2.8545399,0,9.660141,,,5.3082676,,,,312,1.9897959,5.7430034,,,CO,colorado,14.1,0.00428181,-5.4533796,,12.5,,8.148397,,0.06134224,-2.7912867,,8.099554,
1990,8.0,8.8,109,3294,18795,211,3.3090467,1,9.841346,0.45450687,0.1812048,5.351858,0.043590546,0.099999905,-1.0,320,1.7025805,5.768321,0.025317669,-0.28721547,CO,colorado,13.7,0.004159077,-5.482462,-0.029082298,13.7,1.1999998,10.94979,2.8013926,0.06405586,-2.7479997,0.04328704,8.099858,0.0003042221
1987,6.7,8.8,107,3212,21258,293,3.3312578,0,9.964489,,,5.6801724,,,,478,2.2485652,6.1696105,,,CT,connect,15.3,0.004763387,-5.3467965,,6.6,,11.097279,,0.09122042,-2.3944764,,8.074649,
1990,6.6,7.9,135,3287,25528,305,4.1070886,1,10.1475315,0.77583075,0.18304253,5.7203116,0.0401392,-0.099999905,-0.9000001,571,2.2367597,6.347389,0.17777872,-0.011805534,CT,connect,14.3,0.004350472,-5.437471,-0.0906744,6.0,-0.5999999,16.868177,5.770899,0.09278978,-2.3774188,0.017057657,8.097731,0.02308178
1987,6.7,11.7,20,648,16305,191,3.0864198,0,9.699227,,,5.2522736,,,,261,1.600736,5.5645204,,,DE,delaware,3.4,0.0052469135,-5.2501154,,6.6,,9.525988,,0.29475307,-1.2216173,,6.473891,
1990,7.6,10.1,22,666,20709,199,3.3033032,1,9.938324,0.21688342,0.23909664,5.293305,0.04103136,0.9000001,-1.5999994,292,1.410015,5.676754,0.11223364,-0.19072104,DE,delaware,2.8,0.0042042043,-5.47167,-0.22155476,6.9,0.3000002,10.911813,1.3858252,0.2987988,-1.2079848,0.013632536,6.50129,0.027399063
1987,7.7,10.6,307,12022,15594,203,2.5536516,0,9.654641,,,5.313206,,,,236,1.5134026,5.463832,,,FL,florida,60.9,0.005065713,-5.28526,,12.4,,6.5211363,,0.016885709,-4.081288,,9.394494,
1990,7.4,9.6,420,12938,18606,208,3.2462513,1,9.83124,0.6925998,0.17659855,5.3375382,0.024332047,-0.2999997,-1.0,263,1.4135225,5.572154,0.10832214,-0.0998801,FL,florida,62.8,0.0048539187,-5.327969,-0.042708874,14.4,2.0,10.538148,4.0170116,0.016076673,-4.130386,-0.049098015,9.467924,0.07343006
1987,8.2,12.7,244,6227,14387,167,3.9184198,0,9.57408,,,5.117994,,,,237,1.6473205,5.46806,,,GA,georgia,35.1,0.005636743,-5.1784487,,14.6,,15.354014,,0.026818693,-3.6186562,,8.7366495,
1990,8.7,12.4,320,6478,17041,175,4.9397964,1,9.743378,1.0213766,0.16929722,5.164786,0.04679203,0.5,-0.3000002,265,1.555073,5.57973,0.11167002,-0.092247486,GA,georgia,34.9,0.0053874655,-5.22368,-0.045231342,15.8,1.1999998,24.401588,9.047574,0.02701451,-3.611381,0.0072751045,8.776167,0.039517403
1987,7.0,8.9,41,1082,15569,225,3.7892792,0,9.653037,,,5.4161005,,,,410,2.6334383,6.016157,,,HI,hawaii,3.8,0.0035120146,-5.6515656,,8.8,,14.358637,,0.20794824,-1.570466,,6.9865665,
1990,7.1,6.7,44,1108,20461,236,3.9711192,1,9.926276,0.18183994,0.27323914,5.463832,0.0477314,0.099999905,-2.1999998,581,2.8395483,6.364751,0.3485937,0.20611,HI,hawaii,4.1,0.003700361,-5.5993247,0.05224085,11.0,2.1999998,15.769788,1.4111509,0.2129964,-1.5464801,0.023985982,7.010312,0.023745537
