"","x","y"
"1",0.1049,0.581
"2",0.1393,0.4611
"3",-0.0736,0.5434
"4",0.0868,0.5846
"5",0.3994,0.5803
"6",0.1681,0.6244
"7",0.2516,0.4873
"8",0.2675,0.571
"9",0.1528,0.5955
"10",0.2024,0.6304
"11",0.2378,0.7419
"12",0.488,0.7724
"13",0.5449,0.714
"14",0.4858,0.7355
"15",0.486,0.5805
"16",0.0329,0.4918
"17",-0.0138,0.4095
"18",-0.181,0.5329
"19",0.0658,0.4988
"20",0.2653,0.5621
"21",0.1301,0.5405
"22",0.0871,0.4674
"23",0.1981,0.6507
"24",0.3098,0.6992
"25",0.3984,0.5337
"26",0.092,0.6738
"27",0.3477,0.6362
"28",0.2724,0.5971
"29",1e-04,0.5159
"30",0.0665,0.6101
"31",0.0067,0.5192
"32",-0.0533,0.4
"33",-0.2,0.5622
"34",0.1245,0.5491
"35",0.2779,0.5311
"36",0.1161,0.54
"37",0.1154,0.5456
"38",0.337,0.5463
"39",0.1119,0.5813
"40",0.1811,0.4646
"41",0.0541,0.6965
"42",0.3929,0.6649
"43",0.3299,0.521
"44",0.269,0.7135
"45",0.4328,0.7132
"46",-0.1176,0.4205
"47",-0.1483,0.3113
"48",-0.3723,0.5091
"49",0.0181,0.4796
"50",0.0362,0.5096
"51",0.0192,0.4733
"52",-0.0408,0.4263
"53",-0.08,0.3706
"54",-0.2395,0.4164
"55",-0.1673,0.3742
"56",-0.4079,0.4646
"57",-0.0708,0.2707
"58",-0.4471,0.2344
"59",-0.5064,0.3763
"60",-0.2283,0.2987
"61",-0.0366,0.4566
"62",-0.055,0.3807
"63",-0.2385,0.538
"64",0.076,0.551
"65",0.346,0.5906
"66",0.1813,0.5632
"67",0.1263,0.5475
"68",-0.0244,0.3275
"69",-0.3376,0.5232
"70",0.0464,0.5037
"71",-0.0884,0.3911
"72",-0.2178,0.2636
"73",-0.4728,0.4725
"74",-0.0667,0.5205
"75",0.0613,0.4988
"76",0.1749,0.4768
