treat,age,ed,black,hisp,married,nodeg,re74,re75,re78,age2
0.0,45.0,11.0,0.0,0.0,1.0,1.0,21516.67,25243.55,25564.67,2025.0
0.0,21.0,14.0,0.0,0.0,0.0,0.0,3175.971,5852.565,13496.08,441.0
0.0,38.0,12.0,0.0,0.0,1.0,0.0,23039.02,25130.76,25564.67,1444.0
0.0,48.0,6.0,0.0,0.0,1.0,1.0,24994.37,25243.55,25564.67,2304.0
0.0,18.0,8.0,0.0,0.0,1.0,1.0,1669.295,10727.61,9860.869,324.0
0.0,22.0,11.0,0.0,0.0,1.0,1.0,16365.76,18449.27,25564.67,484.0
0.0,48.0,10.0,0.0,0.0,1.0,1.0,16804.63,16354.6,18059.3,2304.0
0.0,18.0,11.0,0.0,0.0,0.0,1.0,1144.212,3620.032,15739.27,324.0
0.0,48.0,9.0,0.0,0.0,1.0,1.0,25862.32,25243.55,25564.67,2304.0
0.0,45.0,12.0,0.0,0.0,1.0,0.0,25862.32,0.0,3924.842,2025.0
0.0,34.0,14.0,0.0,0.0,1.0,0.0,25862.32,23746.84,25564.67,1156.0
0.0,16.0,10.0,0.0,0.0,0.0,1.0,1026.656,1224.581,6847.785,256.0
0.0,53.0,10.0,0.0,0.0,1.0,1.0,25862.32,25243.55,25564.67,2809.0
0.0,19.0,12.0,0.0,0.0,0.0,0.0,867.9552,4386.29,8777.696,361.0
0.0,27.0,12.0,0.0,0.0,1.0,0.0,25862.32,19047.24,19214.88,729.0
0.0,32.0,10.0,0.0,0.0,1.0,1.0,20427.32,23374.45,9179.637,1024.0
0.0,27.0,12.0,0.0,0.0,1.0,0.0,20983.75,14822.08,25564.67,729.0
0.0,46.0,7.0,0.0,0.0,1.0,1.0,19171.43,1317.677,0.0,2116.0
0.0,24.0,13.0,0.0,0.0,0.0,0.0,20830.92,25243.55,23903.71,576.0
0.0,22.0,13.0,0.0,0.0,0.0,0.0,11036.55,10351.65,6556.673,484.0
0.0,49.0,10.0,0.0,0.0,1.0,1.0,391.8534,0.0,0.0,2401.0
0.0,17.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,4755.324,289.0
0.0,29.0,14.0,0.0,0.0,1.0,0.0,21499.03,22586.71,20923.13,841.0
