data_id,treat,age,education,black,hispanic,married,nodegree,re75,re78,re74
Lalonde Sample,1,37,11,1,0,1,1,0.0,9930.046,0.0
Lalonde Sample,1,22,9,0,1,0,1,0.0,3595.8940000000002,0.0
Lalonde Sample,1,30,12,1,0,0,0,0.0,24909.45,0.0
Lalonde Sample,1,27,11,1,0,0,1,0.0,7506.146,0.0
Lalonde Sample,1,33,8,1,0,0,1,0.0,289.7899,0.0
Lalonde Sample,1,22,9,1,0,0,1,0.0,4056.494,0.0
Lalonde Sample,1,23,12,1,0,0,0,0.0,0.0,0.0
Lalonde Sample,1,32,11,1,0,0,1,0.0,8472.158000000001,0.0
Lalonde Sample,1,22,16,1,0,0,0,0.0,2164.022,0.0
Lalonde Sample,1,33,12,0,0,1,0,0.0,12418.07,0.0
Lalonde Sample,1,19,9,1,0,0,1,0.0,8173.908,0.0
Lalonde Sample,1,21,13,1,0,0,0,0.0,17094.64,0.0
Lalonde Sample,1,18,8,1,0,0,1,0.0,0.0,0.0
Lalonde Sample,1,27,10,1,0,1,1,0.0,18739.93,0.0
Lalonde Sample,1,17,7,1,0,0,1,0.0,3023.8790000000004,0.0
Lalonde Sample,1,19,10,1,0,0,1,0.0,3228.5029999999997,0.0
Lalonde Sample,1,27,13,1,0,0,0,0.0,14581.86,0.0
Lalonde Sample,1,23,10,1,0,0,1,0.0,7693.4,0.0
Lalonde Sample,1,40,12,1,0,0,0,0.0,10804.32,0.0
Lalonde Sample,1,26,12,1,0,0,0,0.0,10747.35,0.0
Lalonde Sample,1,23,11,1,0,0,1,0.0,0.0,0.0
Lalonde Sample,1,41,14,0,0,0,0,0.0,5149.501,0.0
Lalonde Sample,1,38,9,0,0,0,1,0.0,6408.95,0.0
Lalonde Sample,1,24,11,1,0,0,1,0.0,1991.4,0.0
Lalonde Sample,1,33,11,1,0,0,1,7867.916,6281.433000000001,0.0
Lalonde Sample,1,18,10,1,0,0,1,0.0,11163.17,0.0
Lalonde Sample,1,29,11,1,0,1,1,0.0,9642.999,0.0
Lalonde Sample,1,25,11,1,0,0,1,0.0,9897.049,0.0
Lalonde Sample,1,27,10,0,1,0,1,0.0,11142.87,0.0
Lalonde Sample,1,17,10,1,0,0,1,0.0,16218.04,0.0
Lalonde Sample,1,24,11,1,0,0,1,0.0,995.7002,0.0
Lalonde Sample,1,17,10,1,0,0,1,0.0,0.0,0.0
Lalonde Sample,1,17,10,1,0,0,1,0.0,0.0,0.0
Lalonde Sample,1,17,10,1,0,0,1,0.0,0.0,0.0
Lalonde Sample,1,26,11,1,0,1,1,2754.6459999999997,26372.28,0.0
Lalonde Sample,1,48,4,1,0,0,1,0.0,6551.592,0.0
Lalonde Sample,1,25,11,1,0,1,1,0.0,1574.424,0.0
Lalonde Sample,1,20,12,1,0,0,0,0.0,0.0,0.0
Lalonde Sample,1,25,12,1,0,0,0,0.0,3191.7529999999997,0.0
Lalonde Sample,1,42,14,1,0,0,0,0.0,20505.93,0.0
Lalonde Sample,1,25,5,1,0,0,1,0.0,6181.88,0.0
Lalonde Sample,1,23,12,1,0,1,0,0.0,5911.5509999999995,0.0
Lalonde Sample,1,46,8,1,0,1,1,0.0,3094.156,0.0
Lalonde Sample,1,24,10,1,0,0,1,0.0,0.0,0.0
Lalonde Sample,1,24,10,1,0,0,1,0.0,0.0,0.0
Lalonde Sample,1,21,12,1,0,0,0,0.0,1254.5819999999999,0.0
Lalonde Sample,1,19,9,0,0,0,1,0.0,13188.83,0.0
Lalonde Sample,1,17,8,1,0,0,1,0.0,8061.485,0.0
Lalonde Sample,1,18,8,0,1,1,1,0.0,2787.96,0.0
Lalonde Sample,1,20,11,1,0,0,1,0.0,3972.54,0.0
Lalonde Sample,1,25,11,1,0,1,1,0.0,0.0,0.0
Lalonde Sample,1,17,8,1,0,0,1,0.0,0.0,0.0
Lalonde Sample,1,17,8,1,0,0,1,0.0,0.0,0.0
Lalonde Sample,1,17,9,1,0,0,1,0.0,0.0,0.0
Lalonde Sample,1,25,5,1,0,0,1,0.0,12187.41,0.0
Lalonde Sample,1,23,12,1,0,0,0,0.0,4843.1759999999995,0.0
Lalonde Sample,1,28,8,1,0,0,1,0.0,0.0,0.0
Lalonde Sample,1,31,11,1,0,1,1,0.0,8087.486999999999,0.0
Lalonde Sample,1,18,11,1,0,0,1,0.0,0.0,0.0
Lalonde Sample,1,25,12,1,0,0,0,0.0,2348.973,0.0
Lalonde Sample,1,30,11,1,0,1,1,0.0,590.7818,0.0
Lalonde Sample,1,17,10,1,0,0,1,0.0,0.0,0.0
Lalonde Sample,1,17,10,1,0,0,1,0.0,0.0,0.0
Lalonde Sample,1,17,10,1,0,0,1,0.0,0.0,0.0
Lalonde Sample,1,37,9,1,0,0,1,0.0,1067.506,0.0
Lalonde Sample,1,41,4,1,0,1,1,0.0,7284.986,0.0
Lalonde Sample,1,42,14,1,0,1,0,0.0,13167.52,0.0
Lalonde Sample,1,22,11,0,0,0,1,0.0,1048.432,0.0
Lalonde Sample,1,17,8,1,0,0,1,0.0,0.0,0.0
Lalonde Sample,1,17,8,1,0,0,1,0.0,0.0,0.0
Lalonde Sample,1,29,8,1,0,0,1,0.0,1923.9379999999999,0.0
Lalonde Sample,1,28,10,1,0,0,1,2836.506,3196.571,0.0
Lalonde Sample,1,35,10,1,0,0,1,0.0,4666.236,0.0
Lalonde Sample,1,27,11,1,0,0,1,0.0,549.2984,0.0
Lalonde Sample,1,29,4,1,0,0,1,0.0,762.9146,0.0
Lalonde Sample,1,28,9,1,0,0,1,0.0,10694.29,0.0
Lalonde Sample,1,27,11,1,0,0,1,0.0,0.0,0.0
Lalonde Sample,1,23,7,0,0,0,1,0.0,0.0,0.0
Lalonde Sample,1,45,5,1,0,1,1,0.0,8546.715,0.0
Lalonde Sample,1,29,13,1,0,0,0,0.0,7479.656,0.0
Lalonde Sample,1,27,9,1,0,0,1,0.0,0.0,0.0
Lalonde Sample,1,46,13,1,0,0,0,0.0,647.2046,0.0
Lalonde Sample,1,18,6,1,0,0,1,0.0,0.0,0.0
Lalonde Sample,1,25,12,1,0,0,0,0.0,11965.81,0.0
Lalonde Sample,1,28,15,1,0,0,0,0.0,9598.541,0.0
Lalonde Sample,1,31,9,1,0,0,1,1698.6070000000002,10363.27,0.0
Lalonde Sample,1,25,11,0,0,0,1,0.0,18783.35,0.0
Lalonde Sample,1,22,12,1,0,0,0,0.0,18678.08,0.0
Lalonde Sample,1,28,11,1,0,0,1,1284.079,60307.93,0.0
Lalonde Sample,1,21,9,1,0,0,1,0.0,0.0,0.0
Lalonde Sample,1,40,11,1,0,0,1,0.0,23005.6,0.0
Lalonde Sample,1,22,11,1,0,0,1,0.0,6456.696999999999,0.0
Lalonde Sample,1,25,12,1,0,0,0,0.0,0.0,0.0
Lalonde Sample,1,27,9,1,0,1,1,934.4454,1773.4229999999998,0.0
Lalonde Sample,1,23,10,1,0,1,1,936.4386,11233.26,0.0
Lalonde Sample,1,29,10,1,0,0,1,4398.95,0.0,0.0
Lalonde Sample,1,18,12,1,0,0,0,0.0,2321.107,0.0
Lalonde Sample,1,38,12,0,0,0,0,0.0,4941.849,0.0
Lalonde Sample,1,27,13,1,0,0,0,0.0,0.0,0.0
Lalonde Sample,1,27,8,1,0,0,1,0.0,0.0,0.0
Lalonde Sample,1,38,11,1,0,0,1,0.0,0.0,0.0
Lalonde Sample,1,23,8,0,1,0,1,0.0,3881.284,0.0
Lalonde Sample,1,26,11,1,0,0,1,0.0,17230.96,0.0
Lalonde Sample,1,42,9,1,0,1,1,3058.531,1294.4089999999999,0.0
Lalonde Sample,1,21,12,0,0,0,0,0.0,8048.603,0.0
Lalonde Sample,1,25,8,1,0,0,1,0.0,0.0,0.0
Lalonde Sample,1,31,11,1,0,1,1,0.0,14509.93,0.0
Lalonde Sample,1,17,10,1,0,0,1,0.0,0.0,0.0
Lalonde Sample,1,17,10,1,0,0,1,0.0,0.0,0.0
Lalonde Sample,1,17,10,1,0,0,1,0.0,0.0,0.0
Lalonde Sample,1,19,8,1,0,0,1,2657.0570000000002,9970.681,0.0
Lalonde Sample,1,29,14,1,0,0,0,679.6734,17814.98,0.0
Lalonde Sample,1,25,11,1,0,0,1,0.0,0.0,0.0
Lalonde Sample,1,21,12,1,0,0,0,0.0,9983.784,0.0
Lalonde Sample,1,44,11,1,0,0,1,0.0,0.0,0.0
Lalonde Sample,1,19,10,1,0,0,1,385.2741,8124.715,0.0
Lalonde Sample,1,25,12,0,0,0,0,0.0,5587.503000000001,0.0
Lalonde Sample,1,18,10,1,0,0,1,798.9079,9737.154,0.0
Lalonde Sample,1,18,9,1,0,0,1,0.0,4482.845,0.0
Lalonde Sample,1,19,9,1,0,0,1,798.9079,17685.18,0.0
Lalonde Sample,1,18,9,1,0,0,1,3287.375,5010.342000000001,0.0
Lalonde Sample,1,26,11,1,0,1,1,1392.8529999999998,1460.36,0.0
Lalonde Sample,1,42,12,1,0,0,0,0.0,2456.153,0.0
Lalonde Sample,1,25,10,1,0,0,1,0.0,0.0,0.0
Lalonde Sample,1,31,9,0,1,0,1,0.0,26817.6,0.0
Lalonde Sample,1,24,10,1,0,0,1,0.0,0.0,0.0
Lalonde Sample,1,24,10,1,0,0,1,0.0,0.0,0.0
Lalonde Sample,1,26,10,1,0,0,1,0.0,9265.788,0.0
Lalonde Sample,1,20,12,1,0,0,0,377.5686,1652.6370000000002,0.0
Lalonde Sample,1,19,10,0,0,0,1,5324.109,13829.62,0.0
Lalonde Sample,1,25,11,1,0,0,1,0.0,485.2298,0.0
Lalonde Sample,1,23,8,0,0,1,1,1713.15,4232.309,0.0
Lalonde Sample,1,31,12,0,0,0,0,2611.218,2484.549,0.0
Lalonde Sample,1,18,11,1,0,0,1,0.0,4814.627,0.0
Lalonde Sample,1,19,11,1,0,0,1,0.0,7458.105,0.0
Lalonde Sample,1,43,9,1,0,0,1,0.0,0.0,0.0
Lalonde Sample,1,27,13,1,0,0,0,0.0,34099.28,0.0
Lalonde Sample,1,26,11,0,0,0,1,2226.266,13385.86,0.0
Lalonde Sample,1,29,10,0,1,0,1,8853.674,5112.014,0.0
Lalonde Sample,1,17,9,1,0,0,1,0.0,1953.2679999999998,0.0
Lalonde Sample,1,30,11,1,0,0,1,0.0,0.0,0.0
Lalonde Sample,1,17,10,1,0,0,1,156.9491,10641.24,
Lalonde Sample,1,20,12,0,0,1,0,8644.155999999999,11656.51,
Lalonde Sample,1,17,9,1,0,0,1,375.1047,3621.7070000000003,
Lalonde Sample,1,18,12,1,0,0,0,562.6569999999999,0.0,
Lalonde Sample,1,21,11,0,1,0,1,1395.39,0.0,
Lalonde Sample,1,30,11,1,0,0,1,1913.0339999999999,0.0,
Lalonde Sample,1,18,11,0,1,0,1,5491.535,2454.5,
Lalonde Sample,1,20,12,1,0,0,0,9227.559000000001,0.0,
Lalonde Sample,1,20,6,0,1,1,1,10802.98,4488.495,
Lalonde Sample,1,20,10,1,0,0,1,11073.09,0.0,
Lalonde Sample,1,25,8,1,0,0,1,37431.66,2346.828,
Lalonde Sample,1,17,9,0,0,0,1,1618.15,6011.021,
Lalonde Sample,1,18,10,0,1,0,1,2589.042,0.0,
Lalonde Sample,1,19,9,0,1,0,1,6511.124,7913.3859999999995,
Lalonde Sample,1,19,11,1,0,0,1,192.7995,661.1924,
Lalonde Sample,1,27,10,0,1,0,1,421.3024,3075.862,
Lalonde Sample,1,18,12,0,1,0,0,535.5533,1115.86,
Lalonde Sample,1,22,11,1,0,0,1,606.9609,317.8952,
Lalonde Sample,1,20,9,1,0,0,1,660.5159,12229.63,
Lalonde Sample,1,20,11,1,0,0,1,696.2192,0.0,
Lalonde Sample,1,18,10,1,0,0,1,699.7896,480.527,
Lalonde Sample,1,17,10,1,0,0,1,856.8864,3251.1,
Lalonde Sample,1,26,12,1,0,0,0,1088.907,11460.56,
Lalonde Sample,1,22,10,1,0,0,1,1071.108,7315.451999999999,
Lalonde Sample,1,20,12,1,0,0,0,1160.366,702.1839,
Lalonde Sample,1,18,8,1,0,0,1,1199.641,0.0,
Lalonde Sample,1,18,9,1,0,0,1,1285.33,15369.48,
Lalonde Sample,1,18,10,1,0,0,1,1371.017,12064.41,
Lalonde Sample,1,19,10,1,0,0,1,1374.5870000000002,13278.97,
Lalonde Sample,1,18,9,0,1,0,1,1713.773,8836.565999999999,
Lalonde Sample,1,17,10,0,1,0,1,2202.7960000000003,4387.057,
Lalonde Sample,1,19,11,1,0,0,1,1927.995,11965.81,
Lalonde Sample,1,27,11,1,0,1,1,2142.217,2186.189,
Lalonde Sample,1,19,10,1,0,0,1,3213.113,2975.031,
Lalonde Sample,1,19,9,0,1,0,1,3276.15,14271.23,
Lalonde Sample,1,27,10,1,0,0,1,3213.322,2094.119,
Lalonde Sample,1,21,11,1,0,1,1,4167.998,11300.24,
Lalonde Sample,1,29,10,1,0,1,1,4923.263,130.6791,
Lalonde Sample,1,34,11,0,1,0,1,4641.467000000001,2877.6820000000002,
Lalonde Sample,1,25,10,0,0,0,1,4712.874,6103.746,
Lalonde Sample,1,31,13,0,0,0,0,5498.35,2329.867,
Lalonde Sample,1,41,9,1,0,1,1,5783.981,0.0,
Lalonde Sample,1,21,11,0,1,0,1,6658.562,9381.295,
Lalonde Sample,1,20,11,1,0,0,1,6426.646,16451.46,
Lalonde Sample,1,24,12,0,1,1,0,7212.11,6485.508000000001,
Lalonde Sample,1,41,9,1,0,1,1,7212.12,3154.72,
Lalonde Sample,1,21,12,0,0,0,0,7390.634,3557.934,
Lalonde Sample,1,22,11,1,0,0,1,7497.7519999999995,668.7466,
Lalonde Sample,1,20,9,0,1,0,1,8015.441999999999,5487.97,
Lalonde Sample,1,17,11,1,0,0,1,8497.436,9017.004,
Lalonde Sample,1,24,11,1,0,0,1,9180.92,0.0,
Lalonde Sample,1,23,12,1,0,1,0,15079.95,10283.49,
Lalonde Sample,1,23,10,1,0,0,1,15709.56,5665.066,
Lalonde Sample,1,26,11,0,0,0,1,22959.76,2746.614,
Lalonde Sample,1,21,13,1,0,0,0,24806.83,8803.666,
Lalonde Sample,1,18,10,1,0,1,1,1958.096,10989.93,
Lalonde Sample,1,22,10,1,0,0,1,653.9542,11134.98,
Lalonde Sample,1,17,10,1,0,0,1,1000.55,1433.531,
Lalonde Sample,1,20,7,1,0,0,1,1569.49,5518.0830000000005,
Lalonde Sample,1,17,9,1,0,0,1,1667.5829999999999,5594.729,
Lalonde Sample,1,23,11,1,0,0,1,1961.864,3689.1259999999997,
Lalonde Sample,1,32,10,1,0,0,1,2321.5370000000003,179.0217,
Lalonde Sample,1,19,12,1,0,0,0,2534.072,4551.979,
Lalonde Sample,1,30,10,1,0,0,1,2615.817,0.0,
Lalonde Sample,1,25,12,1,0,0,0,2746.6079999999997,2090.678,
Lalonde Sample,1,26,11,0,0,0,1,4676.457,1973.345,
Lalonde Sample,1,19,10,1,0,0,1,3473.808,5861.603,
Lalonde Sample,1,19,8,0,0,0,1,3416.907,9251.357,
Lalonde Sample,1,20,10,1,0,0,1,5100.839,13626.04,
Lalonde Sample,1,21,11,1,0,0,1,5310.107,7906.340999999999,
Lalonde Sample,1,23,12,1,0,0,0,7841.972,7947.257,
Lalonde Sample,1,19,11,1,0,0,1,6409.026999999999,11648.7,
Lalonde Sample,1,22,11,1,0,0,1,8774.791,18295.82,
Lalonde Sample,1,23,12,1,0,0,0,7782.0419999999995,14416.84,
Lalonde Sample,1,26,10,1,0,1,1,8141.703,4635.66,
Lalonde Sample,1,24,12,1,0,0,0,12982.34,0.0,
Lalonde Sample,1,18,10,0,1,0,1,12625.51,0.0,
Lalonde Sample,1,27,11,1,0,0,1,14223.5,7661.973000000001,
Lalonde Sample,1,21,11,0,1,0,1,17983.71,15191.91,
Lalonde Sample,1,25,8,0,0,0,1,23096.65,6421.53,
Lalonde Sample,1,21,12,1,0,0,0,807.9511,4350.907,
Lalonde Sample,1,19,11,1,0,0,1,532.2536,0.0,
Lalonde Sample,1,18,11,1,0,0,1,851.6061,0.0,
Lalonde Sample,1,34,7,1,0,0,1,857.5195,0.0,
Lalonde Sample,1,21,11,0,0,0,1,946.2279,11412.24,
Lalonde Sample,1,25,9,1,0,0,1,1536.503,1709.342,
Lalonde Sample,1,17,9,1,0,0,1,1341.651,1374.066,
Lalonde Sample,1,28,8,1,0,0,1,1182.786,7779.263000000001,
Lalonde Sample,1,18,9,1,0,0,1,1182.786,5100.469,
Lalonde Sample,1,27,12,1,0,0,0,4310.455,0.0,
Lalonde Sample,1,23,9,1,0,0,1,1774.18,11464.71,
Lalonde Sample,1,19,8,0,1,0,1,1862.889,8774.623,
Lalonde Sample,1,21,11,1,0,0,1,2158.585,0.0,
Lalonde Sample,1,21,11,1,0,0,1,2217.724,4082.37,
