treat,age,ed,black,hisp,married,nodeg,re74,re75,re78,age2
1,37,11,1,0,1,1,0.0,0.0,9930.046,1369.0
1,22,9,0,1,0,1,0.0,0.0,3595.894,484.0
1,30,12,1,0,0,0,0.0,0.0,24909.45,900.0
1,27,11,1,0,0,1,0.0,0.0,7506.146,729.0
1,33,8,1,0,0,1,0.0,0.0,289.7899,1089.0
1,22,9,1,0,0,1,0.0,0.0,4056.494,484.0
1,23,12,1,0,0,0,0.0,0.0,0.0,529.0
1,32,11,1,0,0,1,0.0,0.0,8472.158,1024.0
1,22,16,1,0,0,0,0.0,0.0,2164.022,484.0
1,33,12,0,0,1,0,0.0,0.0,12418.07,1089.0
1,19,9,1,0,0,1,0.0,0.0,8173.908,361.0
1,21,13,1,0,0,0,0.0,0.0,17094.64,441.0
1,18,8,1,0,0,1,0.0,0.0,0.0,324.0
1,27,10,1,0,1,1,0.0,0.0,18739.93,729.0
1,17,7,1,0,0,1,0.0,0.0,3023.879,289.0
1,19,10,1,0,0,1,0.0,0.0,3228.503,361.0
1,27,13,1,0,0,0,0.0,0.0,14581.86,729.0
1,23,10,1,0,0,1,0.0,0.0,7693.4,529.0
1,40,12,1,0,0,0,0.0,0.0,10804.32,1600.0
1,26,12,1,0,0,0,0.0,0.0,10747.35,676.0
1,23,11,1,0,0,1,0.0,0.0,0.0,529.0
1,41,14,0,0,0,0,0.0,0.0,5149.501,1681.0
1,38,9,0,0,0,1,0.0,0.0,6408.95,1444.0
1,24,11,1,0,0,1,0.0,0.0,1991.4,576.0
1,18,10,1,0,0,1,0.0,0.0,11163.17,324.0
1,29,11,1,0,1,1,0.0,0.0,9642.999,841.0
1,25,11,1,0,0,1,0.0,0.0,9897.049,625.0
1,27,10,0,1,0,1,0.0,0.0,11142.87,729.0
1,17,10,1,0,0,1,0.0,0.0,16218.04,289.0
1,24,11,1,0,0,1,0.0,0.0,995.7002,576.0
1,17,10,1,0,0,1,0.0,0.0,0.0,289.0
1,48,4,1,0,0,1,0.0,0.0,6551.592,2304.0
1,25,11,1,0,1,1,0.0,0.0,1574.424,625.0
1,20,12,1,0,0,0,0.0,0.0,0.0,400.0
1,25,12,1,0,0,0,0.0,0.0,3191.753,625.0
1,42,14,1,0,0,0,0.0,0.0,20505.93,1764.0
1,25,5,1,0,0,1,0.0,0.0,6181.88,625.0
1,23,12,1,0,1,0,0.0,0.0,5911.551,529.0
1,46,8,1,0,1,1,0.0,0.0,3094.156,2116.0
1,24,10,1,0,0,1,0.0,0.0,0.0,576.0
1,21,12,1,0,0,0,0.0,0.0,1254.582,441.0
1,19,9,0,0,0,1,0.0,0.0,13188.83,361.0
1,17,8,1,0,0,1,0.0,0.0,8061.485,289.0
1,18,8,0,1,1,1,0.0,0.0,2787.96,324.0
1,20,11,1,0,0,1,0.0,0.0,3972.54,400.0
1,25,11,1,0,1,1,0.0,0.0,0.0,625.0
1,17,8,1,0,0,1,0.0,0.0,0.0,289.0
1,17,9,1,0,0,1,0.0,0.0,0.0,289.0
1,25,5,1,0,0,1,0.0,0.0,12187.41,625.0
1,23,12,1,0,0,0,0.0,0.0,4843.176,529.0
1,28,8,1,0,0,1,0.0,0.0,0.0,784.0
1,31,11,1,0,1,1,0.0,0.0,8087.487,961.0
1,18,11,1,0,0,1,0.0,0.0,0.0,324.0
1,25,12,1,0,0,0,0.0,0.0,2348.973,625.0
1,30,11,1,0,1,1,0.0,0.0,590.7818,900.0
1,17,10,1,0,0,1,0.0,0.0,0.0,289.0
1,37,9,1,0,0,1,0.0,0.0,1067.506,1369.0
1,41,4,1,0,1,1,0.0,0.0,7284.986,1681.0
1,42,14,1,0,1,0,0.0,0.0,13167.52,1764.0
1,22,11,0,0,0,1,0.0,0.0,1048.432,484.0
1,17,8,1,0,0,1,0.0,0.0,0.0,289.0
1,29,8,1,0,0,1,0.0,0.0,1923.938,841.0
1,35,10,1,0,0,1,0.0,0.0,4666.236,1225.0
1,27,11,1,0,0,1,0.0,0.0,549.2984,729.0
1,29,4,1,0,0,1,0.0,0.0,762.9146,841.0
1,28,9,1,0,0,1,0.0,0.0,10694.29,784.0
1,27,11,1,0,0,1,0.0,0.0,0.0,729.0
1,23,7,0,0,0,1,0.0,0.0,0.0,529.0
1,45,5,1,0,1,1,0.0,0.0,8546.715,2025.0
1,29,13,1,0,0,0,0.0,0.0,7479.656,841.0
1,27,9,1,0,0,1,0.0,0.0,0.0,729.0
1,46,13,1,0,0,0,0.0,0.0,647.2046,2116.0
1,18,6,1,0,0,1,0.0,0.0,0.0,324.0
1,25,12,1,0,0,0,0.0,0.0,11965.81,625.0
1,28,15,1,0,0,0,0.0,0.0,9598.541,784.0
1,25,11,0,0,0,1,0.0,0.0,18783.35,625.0
1,22,12,1,0,0,0,0.0,0.0,18678.08,484.0
